"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03"
"South of Market","San Francisco","CA","San Francisco","San Francisco",97,,,,,,,,,,,,,,,,,,,,,,,,3300,3000,3300,3255,3195,3350,3695,3550,3800,3817.5,3400,3500,3095,3500,3647.5,3550,3695,3475,3672.5,3500,3600,4047.5,3995,3695,3750,3975,3997.5,3950,3797.5,3747.5,3797.5,3800,3900,3990,3965,4400,4200,4400,3972.5,4200,4375,4300,4650,4697.5,4597.5,4430,4300,4200,4500,4472.5,4050,4000,4087.5,4025,4000,3747.5,3995,3995,3950,3600,3995,3995,3750
"Turtle Bay","New York","NY","New York","New York",98,,,,,,,,,3200,3275,3000,3150,3000,2900,2900,3000,3000,3000,3100,3095,3200,3200,3200,3075,3000,3000,3100,3200,3200,3000,3097.5,3100,3200,3200,3062.5,3000,3000,3000,3095,3149.5,3095,3000,3200,3150,3300,3300,3250,3250,3300,3300,3350,3400,3400,3350,3375,3400,3400,3387.5,3400,3495,3400,3400,3325,3300,3350,3400,3450,3400,3350,3300,3275,3250,3275,3300,3300,3300,3300,3300,3250,3200,3200,3350,3200,3350,3375,3300
"Midtown","New York","NY","New York","New York",99,,,,,,,,,,,,,,3244.5,3337.5,3400,3750,3500,3650,3800,3695,3387.5,3500,3400,3595,3400,3400,3425,3487.5,3400,3395,3438.5,3500,3500,3450,3450,3400,3400,3475,3500,3500,3500,3463.5,3445,3700,4300,4000,4000,4000,4100,4275,4000,4200,4000,3931.5,4000,4200,4000,4000,4300,4300,4500,4000,4300,4400,4300,4200,4100,4250,4250,4500,4450,4400,4400,4400,4350,4050,4000,3970,3627,3900,3900,3600,3999.5,3931.5,3970
"Astrodome Area","Houston","TX","Houston","Harris",100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1270,1200,1200,1200,1180,1200,1200,1200,1200,1200,1275,1300,1300,1310,1292.5,1200,1275,1250,1200,1200,1162,1100,1195,1200,1200
"Charlestown","Boston","MA","Boston","Suffolk",101,,,,,,,,,,,,,,,2275,2500,2400,2535,2500,2675,2767.5,2920,2920,2940,2700,2750,2455,2600,2600,2500,2500,2600,2625,2800,2800,2899,2795,2725,2945,2825,2800,2900,2750,2775,2850,2674.5,2699.5,2950,2730,2700,2700,2650,2825,2820,2522.5,2500,2650,2595,2600,2500,2500,2550,2600,2700,2750,2550,2525,2650,2600,2550,2800,2800,2790,2790,2790,2699,2725,2900,2900,2800,2800,2950,3000,3000,3000,2900
"Metro West","Orlando","FL","Orlando","Orange",102,,,,,,,,,,,,795,850,850,900,850,885,850,895,850,895,875,850,885,850,900,950,900,900,930,985,900,937.5,900,875,900,900,900,919,900,900,900,900,950,950,935,925,912.5,950,950,937.5,950,950,950,970,950,950,950,995,995,995,1012.5,1050,1050,1000,1000,1050,1100,1100,1112.5,1100,1100,1097,1050,1050,1000,1100,1112.5,1100,1150,1137.5,1112.5,1150,1100,1150,1195
"Midtown","Atlanta","GA","Atlanta","Fulton",103,,,,,,,,,,,,,,,,,,,,,,1800,1700,1650,1695,1650,1650,1612.5,1650,1675,1795,1600,1550,1795,1795,1800,1772.5,1850,1800,1799.5,1960,1925,1689,1950,1999,1800,1700,1600,1575,1700,1797.5,1750,1950,1750,1845,1772.5,1700,1795,1750,1965,2000,2000,1940,2000,2050,2195,1950,1950,1950,1950,1850,1800,1800,1895,1900,1900,1900,1795,1850,1937.5,2000,1900,1850,1762.5,1785,1850
"Seatack","Virginia Beach","VA","Virginia Beach","Virginia Beach City",104,,,,,,,,,,,,,,,,,,,,,,,1347.5,1350,1350,1295,1360,1285,1395,1450,1400,1300,1267.5,1250,1250,1225,1250,1225,1262.5,1224,1200,1200,1225,1295,1295,1295,1250,1297.5,1300,1295,1250,1200,1200,1215,1297.5,1250,1200,1200,1200,1250,1250,1250,1250,1262.5,1295,1250,1300,1300,1395,1362.5,1295,1295,1250,1250,1300,1400,1297.5,1250,1300,1300,1250,1250,1295,1300,1250,1300
"Tribeca","New York","NY","New York","New York",105,,,,,,,,,,,,,,,,,,,,,6000,5350,5195,5500,5670,5000,5000,4797.5,5272.5,5197.5,5295,5125,4991.5,4795,4950,4995,4995,5000,5195,5195,5295,5295,5000,5200,5495,6000,5900,5647.5,5600,5925,6000,6000,6000,5997.5,6047.5,6000,5995,5895,5950,6347.5,5895,6395,6207,6347.5,6047.5,6000,6000,5900,5797.5,5645,5595,5950,6000,5847.5,5772.5,5895,5500,5547.5,5800,5500,5895,5595,5495,6000,6075,6500
"Logan Circle","Washington","DC","Washington","District of Columbia",106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,2500,2500,2625,2625,2600,2750,2950,2900,2686,2550,2950,3000,2750,2800,2950,2700,2850,2750,2790,2790,2750,2800,2930,3200,2875,2800,2700,2700,2750,2750,2750,2700,2700,2775,2862.5,2900,2900,2900,2905,2905,2890,2750,2900,2900,2800,2797.5,2695,2800,2940,2850,2900,2900,2850,2725,2750,2800,2750
